IMG Number,STOP_TIME,MINIMUM_LATITUDE,MAXIMUM_LATITUDE,WESTERNMOST_LONGITUDE,EASTERNMOST_LONGITUDE,HORIZONTAL_PIXEL_SCALE,VERTICAL_PIXEL_SCALE
IMG_RDR_2017033T050333_V02,2017-02-0205:03:29.912,,,,,,
IMG_RDR_2017033T050403_V02,2017-02-0205:04:00.396,,,,,,
IMG_RDR_2017033T050434_V02,2017-02-0205:04:30.881,,,,,,
IMG_RDR_2017033T050504_V02,2017-02-0205:05:01.366,,,,,,
IMG_RDR_2017033T050535_V02,2017-02-0205:05:31.851,,,,,,
IMG_RDR_2017033T050605_V02,2017-02-0205:06:02.336,,,,,,
IMG_RDR_2017033T050635_V02,2017-02-0205:06:32.821,,,,,,
IMG_RDR_2017033T050706_V02,2017-02-0205:07:03.306,,,,,,
IMG_RDR_2017033T050736_V02,2017-02-0205:07:33.791,,,,,,
IMG_RDR_2017033T050807_V02,2017-02-0205:08:04.275,,,,,,
IMG_RDR_2017033T050837_V02,2017-02-0205:08:34.761,,,,,,
IMG_RDR_2017033T050908_V02,2017-02-0205:09:05.245,,,,,,
IMG_RDR_2017033T050938_V02,2017-02-0205:09:35.731,,,,,,
IMG_RDR_2017033T051009_V02,2017-02-0205:10:06.214,,,,,,
IMG_RDR_2017033T051039_V02,2017-02-0205:10:36.700,,,,,,
IMG_RDR_2017033T051110_V02,2017-02-0205:11:07.184,,,,,,
IMG_RDR_2017033T051140_V02,2017-02-0205:11:37.670,,,,,,
IMG_RDR_2017033T051211_V02,2017-02-0205:12:08.155,,,,,,
IMG_RDR_2017033T051241_V02,2017-02-0205:12:38.639,,,,,,
IMG_RDR_2017033T051312_V02,2017-02-0205:13:09.125,,,,,,
IMG_RDR_2017033T051542_V02,2017-02-0205:15:41.120,,,,,,
IMG_RDR_2017033T051614_V02,2017-02-0205:16:11.606,,,,,,
IMG_RDR_2017033T051645_V02,2017-02-0205:16:42.091,,,,,,
IMG_RDR_2017033T051715_V02,2017-02-0205:17:12.577,,,,,,
IMG_RDR_2017033T051746_V02,2017-02-0205:17:43.061,,,,,,
IMG_RDR_2017033T051816_V02,2017-02-0205:18:13.547,,,,,,
IMG_RDR_2017033T051847_V02,2017-02-0205:18:44.031,,,,,,
IMG_RDR_2017033T051917_V02,2017-02-0205:19:14.517,,,,,,
IMG_RDR_2017033T051948_V02,2017-02-0205:19:45.002,,,,,,
IMG_RDR_2017033T052018_V02,2017-02-0205:20:15.487,,,,,,
IMG_RDR_2017033T052049_V02,2017-02-0205:20:45.972,,,,,,
IMG_RDR_2017033T052119_V02,2017-02-0205:21:16.458,,,,,,
IMG_RDR_2017033T052150_V02,2017-02-0205:21:46.942,,,,,,
IMG_RDR_2017033T052220_V02,2017-02-0205:22:17.428,,,,,,
IMG_RDR_2017033T052251_V02,2017-02-0205:22:47.914,,,,,,
IMG_RDR_2017033T052321_V02,2017-02-0205:23:18.397,,,,,,
IMG_RDR_2017033T052352_V02,2017-02-0205:23:48.883,,,,,,
IMG_RDR_2017033T052422_V02,2017-02-0205:24:19.368,,,,,,
IMG_RDR_2017033T052453_V02,2017-02-0205:24:49.853,,,,,,
IMG_RDR_2017033T052523_V02,2017-02-0205:25:20.338,,,,,,
IMG_RDR_2017033T052553_V02,2017-02-0205:25:50.823,,,,,,
IMG_RDR_2017033T052624_V02,2017-02-0205:26:21.308,,,,,,
IMG_RDR_2017033T052654_V02,2017-02-0205:26:51.793,,,,,,
IMG_RDR_2017033T052725_V02,2017-02-0205:27:22.278,,,,,,
IMG_RDR_2017033T052755_V02,2017-02-0205:27:52.764,,,,,,
IMG_RDR_2017033T053058_V02,2017-02-0205:30:55.223,,,,,,
IMG_RDR_2017033T053128_V02,2017-02-0205:31:25.708,,,,,,
IMG_RDR_2017033T053159_V02,2017-02-0205:31:56.194,,,,,,
IMG_RDR_2017033T053229_V02,2017-02-0205:32:26.680,,,,,,
IMG_RDR_2017033T053300_V02,2017-02-0205:32:57.165,,,,,,
IMG_RDR_2017033T053330_V02,2017-02-0205:33:27.651,,,,,,
IMG_RDR_2017033T053401_V02,2017-02-0205:33:58.135,,,,,,
IMG_RDR_2017033T053431_V02,2017-02-0205:34:28.621,,,,,,
IMG_RDR_2017033T053502_V02,2017-02-0205:34:59.106,,,,,,
IMG_RDR_2017033T053532_V02,2017-02-0205:35:29.592,,,,,,
IMG_RDR_2017033T053603_V02,2017-02-0205:36:00.077,,,,,,
IMG_RDR_2017033T053633_V02,2017-02-0205:36:30.562,,,,,,
IMG_RDR_2017033T053704_V02,2017-02-0205:37:01.046,,,,,,
IMG_RDR_2017033T053734_V02,2017-02-0205:37:31.532,,,,,,
IMG_RDR_2017033T053805_V02,2017-02-0205:38:02.017,,,,,,
IMG_RDR_2017033T053835_V02,2017-02-0205:38:32.503,,,,,,
IMG_RDR_2017033T053906_V02,2017-02-0205:39:02.988,,,,,,
IMG_RDR_2017033T053936_V02,2017-02-0205:39:33.474,,,,,,
IMG_RDR_2017033T054007_V02,2017-02-0205:40:03.959,,,,,,
IMG_RDR_2017033T054037_V02,2017-02-0205:40:34.445,,,,,,
IMG_RDR_2017033T054108_V02,2017-02-0205:41:04.930,,,,,,
IMG_RDR_2017033T054138_V02,2017-02-0205:41:35.415,,,,,,
IMG_RDR_2017033T054209_V02,2017-02-0205:42:05.901,,,,,,
IMG_RDR_2017033T054239_V02,2017-02-0205:42:36.386,,,,,,
IMG_RDR_2017033T054310_V02,2017-02-0205:43:06.871,,,,,,
IMG_RDR_2017033T054542_V02,2017-02-0205:45:38.854,,,,,,
IMG_RDR_2017033T054612_V02,2017-02-0205:46:09.340,,,,,,
IMG_RDR_2017033T054642_V02,2017-02-0205:46:39.825,,,,,,
IMG_RDR_2017033T054713_V02,2017-02-0205:47:10.311,,,,,,
IMG_RDR_2017033T054743_V02,2017-02-0205:47:40.796,,,,,,
IMG_RDR_2017033T054814_V02,2017-02-0205:48:11.283,,,,,,
IMG_RDR_2017033T054844_V02,2017-02-0205:48:41.768,,,,,,
IMG_RDR_2017033T054915_V02,2017-02-0205:49:12.254,,,,,,
IMG_RDR_2017033T054945_V02,2017-02-0205:49:42.738,,,,,,
IMG_RDR_2017033T055016_V02,2017-02-0205:50:13.224,,,,,,
IMG_RDR_2017033T055046_V02,2017-02-0205:50:43.709,,,,,,
IMG_RDR_2017033T055117_V02,2017-02-0205:51:14.195,,,,,,
IMG_RDR_2017033T055147_V02,2017-02-0205:51:44.681,,,,,,
IMG_RDR_2017033T055218_V02,2017-02-0205:52:15.166,,,,,,
IMG_RDR_2017033T055248_V02,2017-02-0205:52:45.652,,,,,,
IMG_RDR_2017033T055319_V02,2017-02-0205:53:16.137,,,,,,
IMG_RDR_2017033T055349_V02,2017-02-0205:53:46.623,,,,,,
IMG_RDR_2017033T055420_V02,2017-02-0205:54:17.108,,,,,,
IMG_RDR_2017033T055450_V02,2017-02-0205:54:47.594,,,,,,
IMG_RDR_2017033T055521_V02,2017-02-0205:55:18.079,,,,,,
IMG_RDR_2017033T055551_V02,2017-02-0205:55:48.565,,,,,,
IMG_RDR_2017033T055622_V02,2017-02-0205:56:19.050,,,,,,
IMG_RDR_2017033T055652_V02,2017-02-0205:56:49.536,,,,,,
IMG_RDR_2017033T055723_V02,2017-02-0205:57:20.021,,,,,,
IMG_RDR_2017033T055753_V02,2017-02-0205:57:50.507,,,,,,
IMG_RDR_2017033T060056_V02,2017-02-0206:00:52.953,,,,,,
IMG_RDR_2017033T060126_V02,2017-02-0206:01:23.439,,,,,,
IMG_RDR_2017033T060157_V02,2017-02-0206:01:53.925,,,,,,
IMG_RDR_2017033T060258_V02,2017-02-0206:02:54.896,,,,,,
IMG_RDR_2017033T060328_V02,2017-02-0206:03:25.381,,,,,,
IMG_RDR_2017033T060359_V02,2017-02-0206:03:55.866,,,,,,
IMG_RDR_2017033T060429_V02,2017-02-0206:04:26.352,,,,,,
IMG_RDR_2017033T060459_V02,2017-02-0206:04:56.838,,,,,,
IMG_RDR_2017033T060530_V02,2017-02-0206:05:27.324,,,,,,
IMG_RDR_2017033T060600_V02,2017-02-0206:05:57.809,,,,,,
IMG_RDR_2017033T060631_V02,2017-02-0206:06:28.295,,,,,,
IMG_RDR_2017033T060701_V02,2017-02-0206:06:58.780,,,,,,
IMG_RDR_2017033T060732_V02,2017-02-0206:07:29.266,,,,,,
IMG_RDR_2017033T060802_V02,2017-02-0206:07:59.752,,,,,,
IMG_RDR_2017033T060833_V02,2017-02-0206:08:30.238,,,,,,
IMG_RDR_2017033T060903_V02,2017-02-0206:09:00.724,,,,,,
IMG_RDR_2017033T060934_V02,2017-02-0206:09:31.209,,,,,,
IMG_RDR_2017033T061004_V02,2017-02-0206:10:01.694,,,,,,
IMG_RDR_2017033T061035_V02,2017-02-0206:10:32.180,,,,,,
IMG_RDR_2017033T061105_V02,2017-02-0206:11:02.667,,,,,,
IMG_RDR_2017033T061136_V02,2017-02-0206:11:33.152,,,,,,
IMG_RDR_2017033T061206_V02,2017-02-0206:12:03.638,,,,,,
IMG_RDR_2017033T061237_V02,2017-02-0206:12:34.123,,,,,,
IMG_RDR_2017033T061307_V02,2017-02-0206:13:04.609,,,,,,
IMG_RDR_2017033T061539_V02,2017-02-0206:15:36.580,,,,,,
IMG_RDR_2017033T061610_V02,2017-02-0206:16:07.067,,,,,,
IMG_RDR_2017033T061640_V02,2017-02-0206:16:37.552,,,,,,
IMG_RDR_2017033T061711_V02,2017-02-0206:17:08.039,,,,,,
IMG_RDR_2017033T061741_V02,2017-02-0206:17:38.525,,,,,,
IMG_RDR_2017033T061812_V02,2017-02-0206:18:09.012,,,,,,
IMG_RDR_2017033T061842_V02,2017-02-0206:18:39.499,,,,,,
IMG_RDR_2017033T061913_V02,2017-02-0206:19:09.985,,,,,,
IMG_RDR_2017033T061943_V02,2017-02-0206:19:40.472,,,,,,
IMG_RDR_2017033T062014_V02,2017-02-0206:20:10.958,,,,,,
IMG_RDR_2017033T062044_V02,2017-02-0206:20:41.445,,,,,,
IMG_RDR_2017033T062115_V02,2017-02-0206:21:11.930,,,,,,
IMG_RDR_2017033T062145_V02,2017-02-0206:21:42.417,,,,,,
IMG_RDR_2017033T062216_V02,2017-02-0206:22:12.903,,,,,,
IMG_RDR_2017033T062246_V02,2017-02-0206:22:43.390,,,,,,
IMG_RDR_2017033T062317_V02,2017-02-0206:23:13.876,,,,,,
IMG_RDR_2017033T062347_V02,2017-02-0206:23:44.363,,,,,,
IMG_RDR_2017033T062417_V02,2017-02-0206:24:14.849,,,,,,
IMG_RDR_2017033T062448_V02,2017-02-0206:24:45.336,,,,,,
IMG_RDR_2017033T062518_V02,2017-02-0206:25:15.821,,,,,,
IMG_RDR_2017033T062549_V02,2017-02-0206:25:46.308,,,,,,
IMG_RDR_2017033T062619_V02,2017-02-0206:26:16.794,,,,,,
IMG_RDR_2017033T062650_V02,2017-02-0206:26:47.281,,,,,,
IMG_RDR_2017033T062720_V02,2017-02-0206:27:17.768,,,,,,
IMG_RDR_2017033T062751_V02,2017-02-0206:27:48.254,,,,,,
IMG_RDR_2017033T063053_V02,2017-02-0206:30:50.673,,,,,,
IMG_RDR_2017033T063124_V02,2017-02-0206:31:21.160,,,,,,
IMG_RDR_2017033T063154_V02,2017-02-0206:31:51.647,,,,,,
IMG_RDR_2017033T063225_V02,2017-02-0206:32:22.134,,,,,,
IMG_RDR_2017033T063326_V02,2017-02-0206:33:23.107,,,,,,
IMG_RDR_2017033T063356_V02,2017-02-0206:33:53.593,,,,,,
IMG_RDR_2017033T063427_V02,2017-02-0206:34:24.080,,,,,,
IMG_RDR_2017033T063457_V02,2017-02-0206:34:54.566,,,,,,
IMG_RDR_2017033T063528_V02,2017-02-0206:35:25.053,,,,,,
IMG_RDR_2017033T063558_V02,2017-02-0206:35:55.539,,,,,,
IMG_RDR_2017033T063629_V02,2017-02-0206:36:26.026,,,,,,
IMG_RDR_2017033T063659_V02,2017-02-0206:36:56.513,,,,,,
IMG_RDR_2017033T063730_V02,2017-02-0206:37:27.000,,,,,,
IMG_RDR_2017033T063800_V02,2017-02-0206:37:57.487,,,,,,
IMG_RDR_2017033T063831_V02,2017-02-0206:38:27.973,,,,,,
IMG_RDR_2017033T063901_V02,2017-02-0206:38:58.460,,,,,,
IMG_RDR_2017033T063932_V02,2017-02-0206:39:28.946,,,,,,
IMG_RDR_2017033T064002_V02,2017-02-0206:39:59.433,,,,,,
IMG_RDR_2017033T064033_V02,2017-02-0206:40:29.919,,,,,,
IMG_RDR_2017033T064103_V02,2017-02-0206:41:00.406,,,,,,
IMG_RDR_2017033T064134_V02,2017-02-0206:41:30.892,,,,,,
IMG_RDR_2017033T064204_V02,2017-02-0206:42:01.379,,,,,,
IMG_RDR_2017033T064235_V02,2017-02-0206:42:31.865,,,,,,
IMG_RDR_2017033T064305_V02,2017-02-0206:43:02.352,,,,,,
IMG_RDR_2017033T064537_V02,2017-02-0206:45:34.295,,,,,,
IMG_RDR_2017033T064607_V02,2017-02-0206:46:04.783,,,,,,
IMG_RDR_2017033T064638_V02,2017-02-0206:46:35.269,,,,,,
IMG_RDR_2017033T064708_V02,2017-02-0206:47:05.757,,,,,,
IMG_RDR_2017033T064739_V02,2017-02-0206:47:36.243,,,,,,
IMG_RDR_2017033T064809_V02,2017-02-0206:48:06.731,,,,,,
IMG_RDR_2017033T064840_V02,2017-02-0206:48:37.219,,,,,,
IMG_RDR_2017033T064910_V02,2017-02-0206:49:07.705,,,,,,
IMG_RDR_2017033T064941_V02,2017-02-0206:49:38.193,,,,,,
IMG_RDR_2017033T065011_V02,2017-02-0206:50:08.679,,,,,,
IMG_RDR_2017033T065042_V02,2017-02-0206:50:39.167,,,,,,
IMG_RDR_2017033T065112_V02,2017-02-0206:51:09.653,,,,,,
IMG_RDR_2017033T065143_V02,2017-02-0206:51:40.141,,,,,,
IMG_RDR_2017033T065213_V02,2017-02-0206:52:10.626,,,,,,
IMG_RDR_2017033T065244_V02,2017-02-0206:52:41.113,,,,,,
IMG_RDR_2017033T065314_V02,2017-02-0206:53:11.600,,,,,,
IMG_RDR_2017033T065345_V02,2017-02-0206:53:42.088,,,,,,
IMG_RDR_2017033T065415_V02,2017-02-0206:54:12.575,,,,,,
IMG_RDR_2017033T065446_V02,2017-02-0206:54:43.062,,,,,,
IMG_RDR_2017033T065516_V02,2017-02-0206:55:13.549,,,,,,
IMG_RDR_2017033T065547_V02,2017-02-0206:55:44.036,,,,,,
IMG_RDR_2017033T065617_V02,2017-02-0206:56:14.524,,,,,,
IMG_RDR_2017033T065648_V02,2017-02-0206:56:45.009,,,,,,
IMG_RDR_2017033T065718_V02,2017-02-0206:57:15.497,,,,,,
IMG_RDR_2017033T065749_V02,2017-02-0206:57:45.983,,,,,,
IMG_RDR_2017033T081024_V02,2017-02-0208:10:21.945,59.1744,78.4234,9.5177,144.248,98657.1814,98657.1814
IMG_RDR_2017033T081054_V02,2017-02-0208:10:52.444,61.2167,81.8121,0.023009,359.9531,98508.7731,98508.7731
IMG_RDR_2017033T081125_V02,2017-02-0208:11:22.941,63.0654,85.2096,0.0028024,359.9981,98360.2916,98360.2916
IMG_RDR_2017033T081155_V02,2017-02-0208:11:53.439,64.8803,89.0419,0.0022561,359.9994,98211.7222,98211.7222
IMG_RDR_2017033T081226_V02,2017-02-0208:12:23.937,66.5321,89.9842,0.00095898,359.998,98063.0695,98063.0695
IMG_RDR_2017033T081327_V02,2017-02-0208:13:24.932,51.6699,89.9244,0.0056446,359.9991,97765.5187,97765.5187
IMG_RDR_2017033T081357_V02,2017-02-0208:13:55.429,51.1207,89.9251,0.0010111,359.9886,97616.6202,97616.6202
IMG_RDR_2017033T081428_V02,2017-02-0208:14:25.927,50.6065,89.9662,0.0176,359.9264,97467.6329,97467.6329
IMG_RDR_2017033T081458_V02,2017-02-0208:14:56.424,51.3836,87.771,185.51,327.7927,97318.5664,97318.5664
IMG_RDR_2017033T081529_V02,2017-02-0208:15:26.922,51.0496,83.1046,200.4755,312.236,97169.4108,97169.4108
IMG_RDR_2017033T081559_V02,2017-02-0208:15:57.419,50.5883,77.743,212.9986,299.1218,97020.1758,97020.1758
IMG_RDR_2017033T081831_V02,2017-02-0208:18:29.453,59.9795,78.8969,4.3764,139.5798,96274.9373,96274.9373
IMG_RDR_2017033T081902_V02,2017-02-0208:18:59.950,61.8482,81.9854,0.033233,359.9902,96125.1936,96125.1936
IMG_RDR_2017033T081932_V02,2017-02-0208:19:30.449,63.7908,85.5485,0.0011711,359.9894,95975.3543,95975.3543
IMG_RDR_2017033T082003_V02,2017-02-0208:20:00.945,65.4555,89.0457,0.0042376,359.9981,95825.4441,95825.4441
IMG_RDR_2017033T082033_V02,2017-02-0208:20:31.443,67.0798,89.992,0.00055388,359.9987,95675.4382,95675.4382
IMG_RDR_2017033T082104_V02,2017-02-0208:21:01.940,64.0585,89.9929,0.0013713,359.9951,95525.3511,95525.3511
IMG_RDR_2017033T082134_V02,2017-02-0208:21:32.438,56.4859,89.9699,0.0029142,359.9867,95375.1727,95375.1727
IMG_RDR_2017033T082205_V02,2017-02-0208:22:02.935,51.3953,89.9702,0.016256,359.9999,95224.9129,95224.9129
IMG_RDR_2017033T082235_V02,2017-02-0208:22:33.433,51.0901,89.9473,0.13156,359.9902,95074.5615,95074.5615
IMG_RDR_2017033T082306_V02,2017-02-0208:23:03.931,50.1544,87.6095,181.1173,322.3381,94924.1233,94924.1233
IMG_RDR_2017033T082336_V02,2017-02-0208:23:34.428,50.6809,83.2476,194.8979,307.9648,94773.603,94773.603
IMG_RDR_2017033T082407_V02,2017-02-0208:24:04.925,50.8751,78.1238,206.8781,295.3931,94622.9956,94622.9956
IMG_RDR_2017033T082608_V02,2017-02-0208:26:06.491,60.7729,79.396,0.057919,359.89,94021.7806,94021.7806
IMG_RDR_2017033T082639_V02,2017-02-0208:26:36.988,62.605,82.4316,0.0071196,359.9991,93870.7359,93870.7359
IMG_RDR_2017033T082709_V02,2017-02-0208:27:07.486,64.4374,85.7938,0.0011092,359.9999,93719.5982,93719.5982
IMG_RDR_2017033T082740_V02,2017-02-0208:27:37.983,66.1086,89.3085,0.0014485,359.9985,93568.377,93568.377
IMG_RDR_2017033T082810_V02,2017-02-0208:28:08.481,67.6768,89.9316,0.0088828,359.991,93417.0623,93417.0623
IMG_RDR_2017033T082841_V02,2017-02-0208:28:38.977,64.9773,89.9355,0.00089555,359.9994,93265.6688,93265.6688
IMG_RDR_2017033T082911_V02,2017-02-0208:29:09.475,58.765,89.9245,0.0035066,359.9948,93114.1763,93114.1763
IMG_RDR_2017033T082942_V02,2017-02-0208:29:39.971,50.4582,89.9321,0.010966,359.9875,92962.5998,92962.5998
IMG_RDR_2017033T083012_V02,2017-02-0208:30:10.469,50.7146,89.9228,0.090962,359.9668,92810.9289,92810.9289
IMG_RDR_2017033T083043_V02,2017-02-0208:30:40.966,50.9286,87.6865,176.0246,318.1937,92659.1736,92659.1736
IMG_RDR_2017033T083113_V02,2017-02-0208:31:11.463,50.9773,83.4901,189.3736,304.255,92507.3285,92507.3285
IMG_RDR_2017033T083144_V02,2017-02-0208:31:41.961,50.2143,78.4183,201.3074,291.7638,92355.3886,92355.3886
IMG_RDR_2017033T083416_V02,2017-02-0208:34:13.994,61.4626,79.6562,0.0072087,359.9917,91596.6189,91596.6189
IMG_RDR_2017033T083446_V02,2017-02-0208:34:44.493,63.3738,82.8193,0.013185,359.9955,91444.1322,91444.1322
IMG_RDR_2017033T083517_V02,2017-02-0208:35:14.990,65.099,85.9779,0.0055154,359.9976,91291.5644,91291.5644
IMG_RDR_2017033T083547_V02,2017-02-0208:35:45.488,66.7846,89.5165,0.0013119,359.9979,91138.9003,91138.9003
IMG_RDR_2017033T083618_V02,2017-02-0208:36:15.985,68.2586,89.958,0.00010822,359.9998,90986.1495,90986.1495
IMG_RDR_2017033T083648_V02,2017-02-0208:36:46.483,65.6672,89.9599,0.0027957,359.9961,90833.302,90833.302
IMG_RDR_2017033T083719_V02,2017-02-0208:37:16.980,60.4502,89.9655,0.017465,359.9914,90680.3676,90680.3676
IMG_RDR_2017033T083749_V02,2017-02-0208:37:47.478,49.7874,89.9662,0.043526,359.9806,90527.3361,90527.3361
IMG_RDR_2017033T083820_V02,2017-02-0208:38:17.975,50.9108,89.9589,0.075458,359.7983,90374.2172,90374.2172
IMG_RDR_2017033T083850_V02,2017-02-0208:38:48.473,49.9961,87.3644,172.2344,312.1268,90221.0008,90221.0008
IMG_RDR_2017033T083921_V02,2017-02-0208:39:18.970,50.7615,83.2837,184.7787,299.0541,90067.6967,90067.6967
IMG_RDR_2017033T083951_V02,2017-02-0208:39:49.467,50.4562,78.5711,195.8231,287.5389,89914.2997,89914.2997
IMG_RDR_2017033T084223_V02,2017-02-0208:42:21.499,62.351,80.2156,0.0038125,359.9994,89148.2005,89148.2005
IMG_RDR_2017033T084254_V02,2017-02-0208:42:51.995,64.1014,83.1065,0.011283,359.9992,88994.2433,88994.2433
IMG_RDR_2017033T084324_V02,2017-02-0208:43:22.493,65.8441,86.2933,0.0015215,359.9951,88840.1868,88840.1868
IMG_RDR_2017033T084355_V02,2017-02-0208:43:52.989,67.3758,89.4883,0.00056462,359.9993,88686.0459,88686.0459
IMG_RDR_2017033T084425_V02,2017-02-0208:44:23.487,68.8603,89.9264,0.00017077,359.9974,88531.8002,88531.8002
IMG_RDR_2017033T084456_V02,2017-02-0208:44:53.984,66.7173,89.9561,0.0046109,359.9877,88377.4646,88377.4646
IMG_RDR_2017033T084526_V02,2017-02-0208:45:24.482,62.0734,89.9641,0.019244,359.9983,88223.0289,88223.0289
IMG_RDR_2017033T084557_V02,2017-02-0208:45:54.979,50.1817,89.9569,0.020503,359.9805,88068.503,88068.503
IMG_RDR_2017033T084658_V02,2017-02-0208:46:55.973,50.0523,87.5514,166.3785,308.118,87759.1644,87759.1644
IMG_RDR_2017033T084728_V02,2017-02-0208:47:26.471,50.4363,83.5113,179.0507,295.0149,87604.3462,87604.3462
IMG_RDR_2017033T084759_V02,2017-02-0208:47:56.968,50.258,79.0416,189.7496,283.962,87449.4371,87449.4371
IMG_RDR_2017033T085031_V02,2017-02-0208:50:28.998,63.0609,80.4712,0.0041062,359.9953,86675.7611,86675.7611
IMG_RDR_2017033T085101_V02,2017-02-0208:50:59.496,64.8299,83.3824,0.0036869,359.9988,86520.2672,86520.2672
IMG_RDR_2017033T085132_V02,2017-02-0208:51:29.993,66.4759,86.3712,0.00082111,359.9995,86364.6808,86364.6808
IMG_RDR_2017033T085202_V02,2017-02-0208:52:00.491,68.0748,89.6974,0.0016958,359.998,86208.9915,86208.9915
IMG_RDR_2017033T085233_V02,2017-02-0208:52:30.987,69.4205,89.9529,0.0041918,359.9987,86053.2143,86053.2143
IMG_RDR_2017033T085303_V02,2017-02-0208:53:01.485,67.6042,89.9324,0.0026425,359.9757,85897.3288,85897.3288
IMG_RDR_2017033T085334_V02,2017-02-0208:53:31.982,63.7119,89.9757,0.019267,359.9976,85741.3498,85741.3498
IMG_RDR_2017033T085404_V02,2017-02-0208:54:02.479,56.1747,89.9588,0.0043363,359.9995,85585.2723,85585.2723
IMG_RDR_2017033T085435_V02,2017-02-0208:54:32.976,50.0603,89.9502,0.075954,359.6011,85429.0959,85429.0959
IMG_RDR_2017033T085505_V02,2017-02-0208:55:03.473,49.6624,87.5965,161.0857,303.5519,85272.8204,85272.8204
IMG_RDR_2017033T085536_V02,2017-02-0208:55:33.970,49.9389,83.8628,172.9999,291.3083,85116.4457,85116.4457
IMG_RDR_2017033T085606_V02,2017-02-0208:56:04.467,49.7373,79.4742,183.8295,280.2098,84959.9662,84959.9662
IMG_RDR_2017033T085808_V02,2017-02-0208:58:06.029,63.9321,81.0292,0.0052254,359.9962,84335.2614,84335.2614
IMG_RDR_2017033T085838_V02,2017-02-0208:58:36.525,65.5443,83.6801,0.0010998,359.9978,84178.2928,84178.2928
IMG_RDR_2017033T085909_V02,2017-02-0208:59:07.023,67.202,86.693,0.0001825,359.9998,84021.213,84021.213
IMG_RDR_2017033T085939_V02,2017-02-0208:59:37.519,68.6525,89.6963,0.0050186,359.9993,83864.0425,83864.0425
IMG_RDR_2017033T090010_V02,2017-02-0209:00:08.017,70.0471,89.997,0.0016733,359.9988,83706.7603,83706.7603
IMG_RDR_2017033T090040_V02,2017-02-0209:00:38.514,68.379,89.9364,0.00087114,359.9889,83549.3819,83549.3819
IMG_RDR_2017033T090111_V02,2017-02-0209:01:09.011,64.8811,89.9936,0.014516,359.9852,83391.9016,83391.9016
IMG_RDR_2017033T090141_V02,2017-02-0209:01:39.508,58.8783,89.9426,0.0050855,359.9935,83234.3195,83234.3195
IMG_RDR_2017033T090212_V02,2017-02-0209:02:10.005,49.2277,89.9892,0.73462,359.5182,83076.6351,83076.6351
IMG_RDR_2017033T090242_V02,2017-02-0209:02:40.502,49.633,87.5052,156.6533,298.7482,82918.8483,82918.8483
IMG_RDR_2017033T090313_V02,2017-02-0209:03:10.999,49.8794,83.9045,168.1846,287.0241,82760.9589,82760.9589
IMG_RDR_2017033T090343_V02,2017-02-0209:03:41.496,49.6505,79.8578,178.3824,276.5848,82602.9665,82602.9665
IMG_RDR_2017033T090615_V02,2017-02-0209:06:13.525,64.6882,81.3324,0.002968,359.9982,81813.8247,81813.8247
IMG_RDR_2017033T090646_V02,2017-02-0209:06:44.022,66.3161,84.0025,0.00011903,359.9987,81655.2117,81655.2117
IMG_RDR_2017033T090716_V02,2017-02-0209:07:14.519,67.8769,86.8231,0.00040474,359.9948,81496.4944,81496.4944
IMG_RDR_2017033T090747_V02,2017-02-0209:07:45.016,69.3359,89.831,0.0010748,359.9997,81337.6723,81337.6723
IMG_RDR_2017033T090817_V02,2017-02-0209:08:15.513,70.6444,89.96,0.0035265,360,81178.7452,81178.7452
IMG_RDR_2017033T090848_V02,2017-02-0209:08:46.010,69.2526,89.9832,0.011001,359.9959,81019.7129,81019.7129
IMG_RDR_2017033T090918_V02,2017-02-0209:09:16.505,66.2771,89.9594,0.0024795,359.999,80860.5804,80860.5804
IMG_RDR_2017033T090949_V02,2017-02-0209:09:47.002,61.4352,89.9558,0.048739,359.9545,80701.337,80701.337
IMG_RDR_2017033T091019_V02,2017-02-0209:10:17.500,49.5446,89.9789,1.0581,359.1517,80541.9824,80541.9824
IMG_RDR_2017033T091050_V02,2017-02-0209:10:47.996,49.7918,87.5919,151.1906,294.3576,80382.532,80382.532
IMG_RDR_2017033T091120_V02,2017-02-0209:11:18.493,49.462,84.1479,162.4983,282.9683,80222.97,80222.97
IMG_RDR_2017033T091151_V02,2017-02-0209:11:48.989,49.2206,80.4565,172.1618,273.105,80063.3068,80063.3068
IMG_RDR_2017033T091423_V02,2017-02-0209:14:21.019,65.5472,81.7772,0.00052013,359.9967,79265.7463,79265.7463
IMG_RDR_2017033T091453_V02,2017-02-0209:14:51.515,67.0784,84.2807,0.00089886,359.9987,79105.4395,79105.4395
IMG_RDR_2017033T091524_V02,2017-02-0209:15:22.013,68.6453,87.11,0.00057081,359.9999,78945.0138,78945.0138
IMG_RDR_2017033T091554_V02,2017-02-0209:15:52.510,70.0561,89.9633,0.0075554,359.9956,78784.4847,78784.4847
IMG_RDR_2017033T091625_V02,2017-02-0209:16:23.006,71.2743,89.9684,0.0080931,359.9977,78623.8521,78623.8521
IMG_RDR_2017033T091655_V02,2017-02-0209:16:53.502,70.1358,89.9719,0.0013455,359.9982,78463.1103,78463.1103
IMG_RDR_2017033T091726_V02,2017-02-0209:17:23.999,67.3736,89.9631,0.0061004,359.989,78302.2539,78302.2539
IMG_RDR_2017033T091756_V02,2017-02-0209:17:54.495,63.3985,89.9564,0.0076512,359.9936,78141.2931,78141.2931
