IMG Number,STOP_TIME,MINIMUM_LATITUDE,MAXIMUM_LATITUDE,WESTERNMOST_LONGITUDE,EASTERNMOST_LONGITUDE,HORIZONTAL_PIXEL_SCALE,VERTICAL_PIXEL_SCALE
IMG_RDR_2017032T230932_V02,2017-02-0123:09:30.656,-37.4101,9.5161,0.0018643,359.9969,227504.4579,227504.4579
IMG_RDR_2017032T231003_V02,2017-02-0123:10:01.128,-36.4055,9.7206,0.0024928,359.9953,227401.2733,227401.2733
IMG_RDR_2017032T231033_V02,2017-02-0123:10:31.600,-35.6507,9.9273,0.00095713,359.998,227298.0656,227298.0656
IMG_RDR_2017032T231104_V02,2017-02-0123:11:02.070,-36.463,9.9732,0.00055829,359.998,227194.8381,227194.8381
IMG_RDR_2017032T231134_V02,2017-02-0123:11:32.543,-35.7763,10.3365,0.00045545,359.9999,227091.5807,227091.5807
IMG_RDR_2017032T231205_V02,2017-02-0123:12:03.014,-35.1831,10.3781,0.00052417,359.9949,226988.3069,226988.3069
IMG_RDR_2017032T231235_V02,2017-02-0123:12:33.486,-35.1709,10.5798,0.00052761,359.9995,226885.0065,226885.0065
IMG_RDR_2017032T231306_V02,2017-02-0123:13:03.958,-35.7775,10.7786,0.0022171,359.9988,226781.6829,226781.6829
IMG_RDR_2017032T231336_V02,2017-02-0123:13:34.430,-34.7423,10.981,0.0018626,359.9952,226678.3361,226678.3361
IMG_RDR_2017032T231407_V02,2017-02-0123:14:04.902,-34.0516,11.181,0.011316,359.9995,226574.966,226574.966
IMG_RDR_2017032T231437_V02,2017-02-0123:14:35.374,-33.4964,11.3798,0.0044657,359.9954,226471.5726,226471.5726
IMG_RDR_2017032T231508_V02,2017-02-0123:15:05.846,-33.0426,11.5759,0.0023057,359.9998,226368.1559,226368.1559
IMG_RDR_2017032T231538_V02,2017-02-0123:15:36.318,-34.2754,11.7694,0.00083817,359.9988,226264.7159,226264.7159
IMG_RDR_2017032T231609_V02,2017-02-0123:16:06.789,-33.4767,11.8044,0.0069846,359.9989,226161.256,226161.256
IMG_RDR_2017032T231639_V02,2017-02-0123:16:37.261,-33.0179,12.0026,4.403-05,359.9979,226057.7694,226057.7694
IMG_RDR_2017032T231710_V02,2017-02-0123:17:07.733,-32.5169,12.2014,0.00021189,359.996,225954.2594,225954.2594
IMG_RDR_2017032T231740_V02,2017-02-0123:17:38.205,-32.0617,12.4001,0.00099919,359.9994,225850.726,225850.726
IMG_RDR_2017032T231810_V02,2017-02-0123:18:08.678,-31.7225,12.7542,0.0014814,359.9976,225747.1658,225747.1658
IMG_RDR_2017032T231841_V02,2017-02-0123:18:39.149,-32.9356,12.7897,0.00013576,359.9907,225643.589,225643.589
IMG_RDR_2017032T231911_V02,2017-02-0123:19:09.621,-30.9803,12.9852,0.002054,359.9988,225539.9854,225539.9854
IMG_RDR_2017032T231942_V02,2017-02-0123:19:40.093,-29.8406,13.1845,0.0024124,359.9997,225436.3583,225436.3583
IMG_RDR_2017032T232012_V02,2017-02-0123:20:10.565,-28.9258,13.3825,0.00059768,359.9998,225332.7077,225332.7077
IMG_RDR_2017032T232043_V02,2017-02-0123:20:41.036,-28.689,13.4243,0.0038907,360,225229.0371,225229.0371
IMG_RDR_2017032T232113_V02,2017-02-0123:21:11.509,-27.407,13.7787,0.0017791,359.9983,225125.3361,225125.3361
IMG_RDR_2017032T232144_V02,2017-02-0123:21:41.980,-27.2478,13.8146,0.0039496,359.9957,225021.6184,225021.6184
IMG_RDR_2017032T232214_V02,2017-02-0123:22:12.453,-26.129,14.1698,0.00014097,359.9997,224917.8703,224917.8703
IMG_RDR_2017032T232245_V02,2017-02-0123:22:42.924,-25.9739,14.2112,0.0032536,359.9994,224814.1056,224814.1056
IMG_RDR_2017033T004834_V02,2017-02-0200:48:32.425,-35.7309,9.0227,0.00067873,359.9993,206923.7285,206923.7285
IMG_RDR_2017033T004905_V02,2017-02-0200:49:02.897,-34.6629,9.2285,4.54-06,359.997,206815.6649,206815.6649
IMG_RDR_2017033T004935_V02,2017-02-0200:49:33.369,-33.864,9.4355,0.0012806,359.9993,206707.5741,206707.5741
IMG_RDR_2017033T005006_V02,2017-02-0200:50:03.841,-32.4613,9.6422,0.00058719,359.993,206599.4563,206599.4563
IMG_RDR_2017033T005036_V02,2017-02-0200:50:34.313,-31.3735,9.8496,0.002238,359.9981,206491.3112,206491.3112
IMG_RDR_2017033T005107_V02,2017-02-0200:51:04.785,-30.4683,10.053,0.0014845,359.9981,206383.1389,206383.1389
